data,estabelecimento,produto,grandeza,quantidade_comprada,valor_unitario,quantidade,valor_total
28/02/2026,SUPERMERCADO DA FAMILIA S/A,CARNE MOIDA BOV FORTBOI PCT 500G,UN,-,"7,99",1,"7,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,CHARQUE P.A COMUM kg,KG,-,"34,99","0,406","14,21"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,HAMBURGUER JUNDIAI 56G CARNE MISTA,CX,-,"17,64",1,"17,64"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,PEITO FRANGO CONG.IND.kg PAI,KG,-,"13,99","1,354","18,94"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,PEITO FRANGO CONG.IND.kg PAI,KG,-,"13,99","1,754","24,54"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,FARINHA TRIGO D.BENTA C/FERM.1kg,UN,-,"4,79",1,"4,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,SARDINHA CABO VERDE 125G TOMATE,UN,-,"4,29",1,"4,29"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,SARDINHA CABO VERDE 125G OLEO,UN,-,"4,29",1,"4,29"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,SARDINHA CABO VERDE 125G OLEO,UN,-,"4,29",1,"4,29"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,SARDINHA CABO VERDE 125G TOMATE,UN,-,"4,29",1,"4,29"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,CAFE MOIDO SAO BRAZ 250G,UN,-,"13,79",1,"13,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,CAFE MOIDO SAO BRAZ 250G,UN,-,"13,79",1,"13,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,LING.CALABRESA PERDIGAO 400G,UN,-,"9,99",1,"9,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,LEITE COND.SABE SEMIDESNATADO 395G,UN,-,"5,99",1,"5,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,CR.LEITE MARAJOARA LEVISSIMO 200G,UN,-,"1,99",1,"1,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,FORMULA INFANTIL NESTOGENO 2 400 G,UN,-,"33,99",1,"33,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,FEIJAO MACASSAR PEQ.BOM PALADAR 1kg,UN,-,"6,79",1,"6,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,FEIJAO PRETO DA CASA 1kg,UN,-,"6,49",1,"6,49"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,FEIJAO PRETO DA CASA 1kg,UN,-,"6,49",1,"6,49"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,FEIJAO PRETO DA CASA 1kg,UN,-,"6,49",1,"6,49"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,FEIJAO PRETO DA CASA 1kg,UN,-,"6,49",1,"6,49"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,ARROZ BRANCO RAMPINELLI 1kg,UN,-,"3,79",1,"3,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,ARROZ BRANCO RAMPINELLI 1kg,UN,-,"3,79",1,"3,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,LEITE PO CAMPONESA INT.200G,UN,-,"6,29",8,"50,32"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,MARGARINA DELINE C/SAL 3kg,UN,-,"24,99",1,"24,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,ERVILHA E MILHO QUERO LATA 170G,UN,-,"3,99",1,"3,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,DUETO STELLA DORO LATA 170G,UN,-,"3,49",1,"3,49"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,MOLHO DE TOMATE JULIETA TRAD.2kg SC,UN,-,"7,99",1,"7,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,AZEITE OL.EX.V.SANFREDIANO 500ML VD,UN,-,"26,99",1,"26,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,AZEITE OL.EX.V.SANFREDIANO 500ML VD,UN,-,"26,99",1,"26,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,"LV.ROUPAS PO BEM TE VI 1,6kg COCO",UN,-,"9,99",1,"9,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,AMAC.ROUPAS SONHO 2LT MAGIC AZUL,UN,-,"13,99",1,"13,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,SAB.EVEN SUAVE 85G AGUA DE COCO,UN,-,"1,79",1,"1,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,SAB.EVEN SUAVE 85G ERVA DOCE E ALECRIM,UN,-,"1,79",1,"1,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,SAB.EVEN SUAVE 85G ALOE VERA E MENTA,UN,-,"1,79",1,"1,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,SAB.EVEN SUAVE 85G FLORES E BURITI,UN,-,"1,79",1,"1,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,SAB.EVEN SUAVE 85G FLORES E BURITI,UN,-,"1,79",1,"1,79"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,OVOS DAGEMA BRANCO GRANDE C/30,UN,-,"14,99",1,"14,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,OVOS DAGEMA BRANCO GRANDE C/30,UN,-,"14,99",1,"14,99"
28/02/2026,SUPERMERCADO DA FAMILIA S/A,OVOS DAGEMA BRANCO GRANDE C/30,UN,-,"14,99",1,"14,99"
