data,estabelecimento,produto,grandeza,quantidade_comprada,valor_unitario,quantidade,valor_total
28/03/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,AVEIA EM FLOCOS FINO A GRANEL,KG,-,"8,5","2,364","20,09"
28/03/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,FLOCOS DE MILHO NATURAL A GRANEL,KG,-,"14,9","0,34","5,07"
28/03/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,PAPRICA PICANTE A GRANEL,KG,-,16,"0,124","1,98"
28/03/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,LEMON PEPPER PREMIUM A GRANEL,KG,-,"23,5","0,09","2,12"
28/03/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,TEMPERO PARA ARROZ A GRANEL,KG,-,"39,9","0,06","2,39"
28/03/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,COMINHO MOIDO A GRANEL,KG,-,38,"0,056","2,13"
28/03/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,"SALSA, CEBOLA E ALHO A GRANEL",KG,-,"45,9","0,046","2,11"
28/03/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,TEMPERO P/FEIJAO PREMIUM A GRANEL,KG,-,"29,9","0,102","3,05"
