data,estabelecimento,produto,grandeza,quantidade_comprada,valor_unitario,quantidade,valor_total
28/02/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,OREGANO A GRANEL,KG,-,"35,9","0,084","3,02"
28/02/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,ALHO FRITO A GRANEL,KG,-,32,"0,096","3,07"
28/02/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,LOURO TURCO FOLHA A GRANEL,KG,-,59,"0,018","1,06"
28/02/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,TEMPERO PARA FRANGO FIT A GRANEL,KG,-,"31,9","0,094","3,00"
28/02/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,COMINHO MOIDO A GRANEL,KG,-,38,"0,08","3,04"
28/02/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,TEMPERO P/FEIJAO PREMIUM A GRANEL,KG,-,"29,9","0,102","3,05"
28/02/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,CHIMICHURRI SEM PIMENTA A GRANEL,KG,-,29,"0,092","2,67"
28/02/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,LEMON PEPPER PREMIUM A GRANEL,KG,-,"23,5","0,092","2,16"
28/02/2026,MAXIGRAOS COMERCIO DE ALIMENTOS LTDA,AVEIA EM FLOCOS GROSSA A GRANEL,KG,-,"8,5","2,396","20,37"
